Epicor ERP,,,,
07-09-2023 T 03:16:10|Sales Dataset 2,,,,
Jane Smith,,,,
,,,,
Sale Date,Product,Quantity,Unit Price,Amount
26-12-2022,Tablet,8,348.68,2789.46
14-05-2023,Keyboard,5,522.23,2611.17
19-11-2022,Laptop,2,757.91,1515.82
27-06-2023,Mouse,4,367.28,1469.12
30-05-2023,Headphones,3,86.91,260.74
08-01-2023,Speaker,8,601.35,4810.78
25-01-2023,Mouse,4,254.1,1016.4
10-06-2023,Router,10,563.78,5637.8
24-03-2023,Speaker,5,858.61,4293.06
19-07-2023,Charger,6,848.26,5089.56
04-02-2023,Speaker,7,288.13,2016.9
07-02-2023,Charger,1,830.98,830.98
29-12-2022,Headphones,4,685.43,2741.73
26-10-2022,Keyboard,1,827.8,827.8
15-05-2023,Laptop,8,468.33,3746.63
22-12-2022,Router,6,976.87,5861.2
12-03-2023,Headphones,8,780.75,6246.01
22-03-2023,Headphones,8,243.39,1947.08
30-11-2022,Keyboard,3,729.41,2188.22
24-07-2023,Monitor,8,981.7,7853.62
19-08-2023,Monitor,8,232.96,1863.72
12-04-2023,Monitor,3,976.32,2928.97
28-02-2023,Mouse,2,379.39,758.77
05-08-2023,Headphones,7,541.24,3788.71
18-04-2023,Laptop,2,902.76,1805.53
25-06-2023,Router,1,217.86,217.86
23-08-2023,Tablet,3,212.56,637.68
28-07-2023,Monitor,7,33.87,237.11
11-03-2023,Monitor,4,294.52,1178.1
18-09-2023,Smartphone,8,793.47,6347.72
25-02-2023,Charger,4,902.32,3609.27
29-04-2023,Keyboard,4,671.76,2687.04
06-01-2023,Speaker,7,894.39,6260.73
30-05-2023,Charger,10,789.16,7891.61
01-04-2023,Mouse,9,850.39,7653.53
26-08-2023,Mouse,2,792.09,1584.19
19-11-2022,Smartphone,10,950.47,9504.74
26-04-2023,Headphones,7,16.31,114.15
11-07-2023,Keyboard,10,61.02,610.19
26-01-2023,Speaker,3,208.03,624.09
30-05-2023,Tablet,1,10.85,10.85
06-01-2023,Router,5,945.86,4729.28
06-04-2023,Mouse,7,513,3590.98
14-12-2022,Laptop,1,872.34,872.34
04-11-2022,Monitor,8,987.41,7899.28
29-09-2023,Tablet,6,899.06,5394.38
31-12-2022,Charger,10,125.61,1256.09
08-06-2023,Charger,4,959.31,3837.24
10-10-2022,Smartphone,10,311.43,3114.32
07-01-2023,Headphones,2,284.16,568.31
