Epicor ERP,,,,
2023-10-05 03:16:10|Sales Dataset 3,,,,
Bob Williams,,,,
Sale Date,Product,Quantity,Unit Price,Amount
01-05-2023,Charger,4,120.92,483.67
20-09-2023,Headphones,7,392.71,2749
26-11-2022,Mouse,1,15.36,15.36
16-10-2022,Mouse,2,710.11,1420.22
22-07-2023,Speaker,10,143.3,1433.01
18-12-2022,Laptop,2,217.67,435.34
14-11-2022,Keyboard,1,56.23,56.23
17-12-2022,Monitor,10,960.52,9605.19
19-12-2022,Charger,5,178.51,892.56
25-10-2022,Router,2,128.63,257.27
22-05-2023,Router,6,280.9,1685.38
02-08-2023,Router,6,730.76,4384.54
23-07-2023,Smartphone,2,163.03,326.07
10-06-2023,Smartphone,7,154.49,1081.46
12-01-2023,Router,8,365.62,2924.94
22-11-2022,Tablet,9,297.23,2675.03
30-07-2023,Smartphone,10,247.21,2472.08
20-05-2023,Headphones,6,760.7,4564.21
18-08-2023,Monitor,8,920.68,7365.44
15-10-2022,Monitor,6,85.21,511.24
28-10-2022,Router,10,449.34,4493.42
15-12-2022,Smartphone,10,543.1,5431.04
05-09-2023,Charger,5,433.12,2165.59
01-02-2023,Mouse,7,553.18,3872.26
14-11-2022,Laptop,6,741.42,4448.53
08-06-2023,Laptop,5,73.87,369.33
22-03-2023,Router,10,902.33,9023.27
16-11-2022,Monitor,1,975.51,975.51
02-10-2023,Headphones,3,580.7,1742.1
07-12-2022,Laptop,3,344.75,1034.26
19-05-2023,Charger,5,425.97,2129.84
03-12-2022,Speaker,7,880.49,6163.41
23-05-2023,Monitor,1,619.39,619.39
01-07-2023,Speaker,10,687.26,6872.58
25-12-2022,Speaker,2,740.82,1481.65
06-02-2023,Tablet,5,625.21,3126.06
10-03-2023,Charger,10,473.77,4737.71
07-10-2022,Speaker,5,795.74,3978.72
06-10-2023,Router,1,530.82,530.82
10-07-2023,Speaker,8,464.19,3713.5
30-10-2022,Smartphone,8,693.82,5550.54
22-04-2023,Mouse,3,646.14,1938.41
05-11-2022,Laptop,3,885.65,2656.96
24-08-2023,Laptop,7,247.36,1731.49
11-01-2023,Keyboard,10,391.88,3918.8
14-11-2022,Laptop,10,152.51,1525.14
09-06-2023,Headphones,7,380.18,2661.24
13-08-2023,Headphones,5,944.89,4724.46
15-05-2023,Smartphone,7,173.49,1214.43
18-07-2023,Mouse,4,366.2,1464.78
